style_name,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Alcohol_ABV,Bitterness_IBU,Color_SRM
German-Style Rye Ale,"Pale to very dark, with darker versions ranging from dark amber to dark brown.","Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy.","In darker versions, malt aromas and flavors can optionally include low level roasted malt characters expressed as cocoa-chocolate, caramel, toffee, or biscuit attributes. Malt sweetness can vary from low to medium. Low level of roast malt astringency is acceptable when balanced with low to medium malt sweetness.",Not present,Very low to low,"Low to medium banana–like or other fruity ester aromas and flavors are typical. Clove-like or other phenolic aromas and flavors should also be present. No yeast aroma should be present in versions without yeast. Versions packaged and served without yeast will not have yeast ﬂavor or full mouthfeel typical of beers with yeast. Versions with yeast will have low to medium yeast aroma and ﬂavor and a full mouthfeel, but the yeast character should not overpower the balance of rye and barley malts, esters, and phenolics.",Low to medium,4.90%-5.60%,10-15,8-50
Bamberg-Style Weiss Rauchbier,Pale to chestnut brown,"If served with yeast, appearance may be very cloudy.","In darker versions, a detectable degree of roast malt may be present without being aggressive. Smoky malt aroma and ﬂavor, ranging from low to high, should be present. Smoke character should be smooth, not harshly phenolic, suggesting a mild sweetness.",Not present,Low,"The aroma and flavor of a Weiss Rauchbier with yeast should be fruity and phenolic. The phenolic characteristics are often described as clove, nutmeg, vanilla, and smoke. Banana esters are often present at low to medium-high levels. No diacetyl should be perceived. Weissbiers are well attenuated and very highly carbonated.",Medium to full,4.90%-5.60%,10-15,8-36
Kellerbier or Zwickelbier,Varies depending on the underlying European origin lager or ale style,"Typically slightly hazy to moderately cloudy, but may become clear through settling. A small amount of yeast haze is acceptable and traditional.",Varies depending on the underlying style,Varies depending on underlying style. Low level attributes typical of late or dry hopping may be present in some versions.,Varies depending on underlying style,"Low levels of sulfur and acetaldehyde or other volatiles normally scrubbed during fermentation, if present, can enhance the flavor of these beers. Low fruity esters may be present and may vary slightly from the underlying style due to age and the presence of yeast. Diacetyl is usually absent in these beers but may be present at low levels in keller versions of beer styles which can contain diacetyl when fully aged, such as Bohemian-Style Lager.",Varies depending on underlying style,varies,varies,varies
Belgian-Style Table Beer,Gold to black. Caramel color is sometimes added to adjust color.,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures.",Mild malt character may be present,Not present to very low,Very low to low,Diacetyl should not be present. Traditional versions do not use artiﬁcial sweeteners nor are they excessively sweet. More modern versions can incorporate sweeteners such as sugar and saccharin added post fermentation for additional sweetness and to increase smoothness.,Low,0.50%-2.00%,5-15,10-100
Belgian-Style Session Ale,May vary widely,Chill haze is acceptable at low temperatures,"Very low to low, exhibiting a wide range of malt-derived attributes","Very low to low, exhibiting a wide range of hop-derived attributes",Very low to low but sufficient to balance other attributes,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present.",Very low to low,2.10%-5.00%,5-35,varies
Belgian-Style Speciale Belge,Gold to light copper,Chill haze is acceptable at low temperatures,Malt aroma should be low. Caramel or toasted malt attributes are acceptable.,Very low to medium. Noble-type hops are commonly used.,Low to medium,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl should not be present.,Low to medium,5.10%-6.30%,20-30,8-24
Belgian-Style Blonde Ale,Straw to light amber,Chill haze is acceptable at low temperatures,Very low to low,Very low to medium. Noble-type hops are commonly used.,Very low to medium-low,Low to medium fruity esters are balanced with low level malt attributes. Low level yeast-derived phenolic spiciness may be present. Diacetyl and acidic character should not be present.,Low to medium,6.30%-7.90%,15-40,4-14
Belgian-Style Strong Blonde Ale,Straw to light amber,Chill haze is acceptable at low temperatures,Malt character is low to medium. A complex fruitiness is often present.,Medium-low to medium-high,Medium-low to medium-high,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.,Very low to medium,7.10%-11.20%,20-50,4-14
Belgian-Style Strong Dark Ale,Amber to very dark,Chill haze is acceptable at low temperatures,"Medium to high malt aroma and complex fruity aromas are distinctive. Medium to high malt intensity can be rich, creamy, and sweet. Fruity complexity along with soft roasted malt ﬂavor adds distinct character.",Low to medium,Low to medium,Yeast-derived phenolic spicy ﬂavors and aromas are present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium to full,7.10%-11.20%,20-50,16-70
Belgian-Style Dubbel,Brown to very dark,Chill haze is acceptable at low temperatures. Slight yeast haze may be present in bottle conditioned versions.,"Any of cocoa, dark or dried fruit, or caramel aroma attributes should be present along with malty sweetness.","Absent, or low if present.",Medium-low to medium,Fruity esters (especially banana) are absent or present at low levels. Clove-like phenolic flavor and aroma may be present at low to medium-low levels. Diacetyl character should not be present.,Low to medium,6.30%-7.60%,20-35,32-72
Belgian-Style Tripel,Pale to pale gold,"Chill haze is acceptable at low temperatures. Traditional Tripels are bottle conditioned and may exhibit slight yeast haze. However, yeast should not be intentionally roused.",Low sweetness from very pale malts should be present. There should be no roasted or dark malt character.,"Absent, or low if present.",Medium to medium-high,"A complex, sometimes mildly spicy, aroma and ﬂavor characterize this style. Clove-like phenolic aroma and ﬂavor may be very low. Fruity esters, including banana, are also common, but not required. Traditional Tripels are often well attenuated. Alcohol strength and ﬂavor should be present.",Medium,7.10%-10.10%,20-45,8-14
Belgian-Style Quadrupel,Amber to dark brown,Chill haze is acceptable at low temperatures,"Caramel, dark sugar and malty sweet ﬂavors and aromas can be intense, but not cloying, and should complement fruitiness.",Not present to very low,Low to medium-low,"Perception of alcohol can be strong. Complex fruity attributes reminiscent of any of raisins, dates, ﬁgs, grapes, or plums are often present and may be accompanied by wine-like attributes at low levels. Clove-like phenolic ﬂavor and aroma may be present at low to medium-low levels. Diacetyl and DMS should not be present.",Full with creamy mouthfeel,10.00%-14.20%,25-50,32-72
Belgian-Style Witbier,Straw to pale,Unﬁltered starch and yeast haze should be visible. Wits are traditionally bottle conditioned and served cloudy.,Very low to low,Hop aroma is not present to low. Hop flavor is not present.,"Low, from noble-type hops.",Low to medium fruity esters are present. Mild phenolic spiciness and yeast ﬂavors may be present. Mild acidity is appropriate. Diacetyl should not be present.,"Low to medium, with a degree of creaminess from wheat starch.",4.80%-5.60%,10-17,4-8
Classic French & Belgian-Style Saison,Straw to light amber,Chill haze or slight yeast haze is acceptable,"Low, but providing foundation for the overall balance.","Low to medium and characterized by any of floral, herbal, woody or other attributes typical of European-type hops are common.","Medium-low to medium, but not assertive.","Fruity esters are medium to high. Low to medium-low level phenolics may be present, expressed as spice-like or other attributes. Phenolics should not be harsh or dominant and should be in harmony with ester profile and hops. Fruity and spicy black pepper attributes derived from Belgian yeast are common. Diacetyl should not be present. Low levels of Brettanomyces yeast-derived aroma and flavor attributes including any of slightly acidic, fruity, horsey, goaty, or leather-like, may be present but are not required. These beers are well attenuated and often bottle conditioned contributing some yeast character and high carbonation. Versions which exhibit sensory attributes typical of wood-aging are characterized as Specialty Saison.",Very low to low,5.00%-6.80%,20-38,6-14
Specialty Saison,"Straw to dark brown; may take on hue of fruit(s), darker malts, or other ingredients",Chill haze or slight yeast haze is acceptable,"Typically low to medium-low, but may vary in beers made with specialty malts.",Low to medium-high,Medium to medium-high,"Fruity esters are medium to high. Diacetyl should not be present. Complex alcohols, herbs, spices, low Brettanomyces attributes including slightly acidic, fruity, horsey, goaty and leather-like, as well as clove-like and smoky phenolics may be present. Herb or spice ﬂavors, including notes of black pepper, may be present. A low level of sour acidic ﬂavor is acceptable when in balance with other components. Because these beers are often bottle conditioned, they may display some yeast character and high carbonation.",Low to medium,5.00%-9.30%,20-40,6-40
French-Style Bière de Garde,Light amber to chestnut brown/red,Chill haze is acceptable. These beers are often bottle conditioned so slight yeast haze is acceptable.,"These beers are characterized by a toasted malt aroma and flavor, and a slight malt sweetness.",Low to medium from noble-type hops,Low to medium,"Fruity ester aromas are medium to high. Whereas fruity ester ﬂavors are low to medium. Diacetyl should not be present. Bière de Garde may have low levels of Brettanomyces yeast-derived ﬂavors including any of slightly acidic, fruity, horsey, goaty, or leather-like attributes. Beer displaying more pronounced levels of Brettanomyces derived attributes is categorized as Brett Beer. Alcohol may be evident in higher strength beers.",Low to medium,4.40%-8.00%,20-30,14-32
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Copper to very dark. SRM/EBC color values can be misleading because the red spectrum of color is not accurately assessed by these measurement systems.,Chill haze is acceptable at low temperatures. Some versions may be more highly carbonated. Bottle conditioned versions may appear cloudy when served.,Roasted malt aromas and flavors including cocoa are acceptable at low levels. A very low level of malt sweetness may be present and balanced by acidity from Lactobacillus.,Not present,"Very low to medium-low, though acidity and wood-aging (if used) may mask higher bitterness levels.",Brettanomyces-produced aromas and flavors should be absent or very low. Fruity esters expressed as cherry or green apple attributes are apparent. Overall flavor of Oud Bruin is fundamentally characterized by low to high lactic sourness. Many versions express very low to medium acetic sourness and aroma; acetic sourness may also be absent.,Low to medium-low with a refreshing mouthfeel,4.80%-6.60%,5-18,24-50
Belgian-Style Lambic,Gold to medium amber,Cloudiness is acceptable,Sweet malt character should not be present,"Not present to very low, and can include cheesy, ﬂoral or other attributes. Hop character is achieved by using stale and aged hops at low rates.",Very low,"Characteristic horsey, goaty, leathery and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. High to very high fruity esters are present. Traditionally, Lambics are unblended and spontaneously fermented. They express high to very high levels of fruity esters as well as bacteria and yeast-derived sourness. Some versions are fermented with the addition of cultured yeast and bacteria. Carbonation can range from absent to medium. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels.",Very low with dry mouthfeel,5.00%-7.60%,11-23,12-26
Traditional Belgian-Style Gueuze,Gold to medium amber,"Appearance can range from clear to low-medium cloudiness arising from yeast, as Gueuze is traditionally bottle conditioned.",Sweet malt character is not present,"Not present to very low and can include cheesy, ﬂoral or other attributes.",Very low,"Gueuze represents blends of aged and newly fermenting young Lambics. These unﬂavored blended and secondary fermented beers may range from very dry or mildly sweet. They are characterized by intense fruity ester, sour, and acidic attributes which only result from spontaneous fermentation. Diacetyl should not be present. Characteristic horsey, goaty, leathery and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels. Carbonation can range from absent to high.",Typically very low with dry mouthfeel. Highly complex flavor profile can lend an impression of fullness.,5.00%-8.00%,11-23,12-26
Contemporary Belgian-Style Spontaneous Fermented Ale,Gold to very dark,"Cloudiness is acceptable, as these beers are frequently bottle conditioned.",Sweet malt character is not present. Some versions may exhibit attributes typical of specialty malts.,"Not present to low and can include cheesy, ﬂoral or other attributes typical of aged or unaged hops.",Very low,"These blended and secondary fermented beers may be very dry or mildly sweet. They are characterized by intense fruity ester, sour, and acidic attributes which only result from spontaneous fermentation. Diacetyl should not be present. Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Aged beer is often blended with young beer to create this special style. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels. Carbonation can be none (flat) to high.",Very low with dry mouthfeel,5.00%-8.90%,11-23,12-80
Belgian-Style Fruit Lambic,Often influenced by the color of added fruit,Cloudiness is acceptable,"Malt sweetness should be absent, but sweetness of fruit may be low to high.",Hop aroma and ﬂavor is not present. Cheesy hop character should not be present.,Very low,"Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Fermented sourness is an important part of the ﬂavor proﬁle, though sweetness may compromise the intensity. Fruit sourness may also be an important part of the proﬁle. These ﬂavored Lambic beers may be very dry or mildly sweet.",Dry to full,5.00%-8.90%,15-21,
Other Belgian-Style Ale,May vary widely,Chill haze is acceptable at low temperatures,Malt perception may vary widely,May vary widely,May vary widely,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present.",Varies with style,varies,varies,varies
Grodziskie,Straw to gold,Chill haze is acceptable at low temperatures,Oak-smoked wheat malt comprises the entire grain bill. Assertive smoked wheat malt aromas and flavors are medium to medium-high with aroma dominated by oak smoke.,Aroma and flavor of noble hops ranges from not present to low,Medium-low to medium,Fruity esters are low. Diacetyl and DMS should not be present. An overall crisp flavor is achieved by managing fermentation temperatures. Sourness should not be present.,Low to medium-low,2.70%-3.70%,15-25,6-12
Adambier,Light brown to very dark,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is absent.",Toast and caramel malt aroma and flavor may be present. Astringency from highly roasted malt should not be present.,"Low, with attributes typical of traditional non-hybrid European hop varieties.",Low to medium,A cool ale fermentation is typically used. Extensive aging and acidiﬁcation can mask malt and hop character to varying degrees. Aging in barrels may contribute some level of Brettanomyces and lactic character.,Medium to full,9.00%-11.00%,30-50,30-70
"Dutch-Style Kuit, Kuyt or Koyt",Gold to copper,Chill haze and other haze is acceptable,"The aroma is grainy or grainy-bready. A distinctive aroma and flavor profile arises from the use of at least 45 percent oat malt, and at least 20 percent wheat malt. Pale malt makes up the remainder of the grain bill.",Very low to low from noble hops or other traditional European varieties,Medium-low to medium,Esters may be present at low levels. Diacetyl is usually absent in these beers but may be present at very low levels. Acidity and sweet corn-like DMS should not be present.,Low to medium,4.70%-7.90%,25-35,10-25
International-Style Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Very low to medium malt flavor and aroma should be present. Low caramel malt aroma and flavor may be present.,"Hop aroma is low to high. Hop ﬂavor is very low to high. Hop character can vary widely, exhibiting diverse hop aroma and flavor attributes.",Medium to high,Fruity esters are low to high. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.,Low to medium,4.40%-6.60%,20-42,10-24
Classic Australian-Style Pale Ale,Straw to copper,Chill or yeast haze is acceptable at low levels,Low malt sweetness and other malt attributes are present,Low to medium,Low to medium,"Perceivable fruity esters should be present, and are a defining character of this beer style, balanced by low to medium hop aroma. Overall flavor impression is mild. Clean yeasty, bready character may be present. Yeast in suspension if present may impact overall perception of bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.",Low to medium with a dry finish,4.00%-6.00%,15-35,6-20
Australian-Style Pale Ale,Straw to medium amber,"Any of yeast, chill, or hop haze may be present in this style at low levels but are not essential",Very low to medium,"Medium-low to medium-high, exhibiting attributes typical of modern hop varieties including any of tropical fruit, mango, passionfruit, or stone fruit",Low to medium-high,Very low to low fruity esters are acceptable but not essential.,Low to medium-low with a dry finish,4.00%-6.00%,15-40,6-18
New Zealand-Style Pale Ale,Straw to medium amber,"Any of yeast, chill, or hop haze may be present in at low levels but are not essential",Very low to medium,"Medium to medium-high, exhibiting attributes including any of tropical fruit, passionfruit, stone fruit, cut grass, or diesel",Low to medium-high,Low to medium fruity esters are acceptable but not essential.,Medium-low to medium with a dry finish,4.00%-6.00%,15-40,6-18
New Zealand-Style India Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low to medium intensity malt attributes are present in aroma and ﬂavor,"High to intense, exhibiting attributes such as ﬂoral, fruity (tropical, stone fruit, and other), sulfur/diesel-like, citrusy, and grassy",Medium-high to very high,"Fruity esters are low to high, acceptable but not essential.",Medium-low to medium with a dry finish,6.30%-7.50%,50-70,12-24
Finnish-Style Sahti,Pale to copper,"Chill haze, yeast haze and general turbidity is acceptable.",Malt aroma is medium-low to medium. Malt ﬂavor is medium to high with malt sweetness present.,Not present to very low,Very low,"These beers can vary significantly in character. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present. Bread/bakers’ yeast is traditionally used for fermentation and may produce flavors and aromas of complex alcohols, clove-like phenolics and banana fruitiness.",Medium to full,7.00%-8.50%,3-16,8-24
Swedish-Style Gotlandsdricke,Pale to copper,Chill haze or yeast haze is acceptable,"Medium-low to medium. Birchwood smoke character, derived from the malting process, should be present.",Not present to very low,Very low to medium-low,Bread/bakers’ yeast is traditionally used for fermentation and contributes to unique character of these beers. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present.,Medium to full,5.50%-6.50%,15-25,8-24
Breslau-Style Schoeps,Straw to black,Chill haze is acceptable at low temperatures. Hue may be too dark to perceive clarity in some versions.,"Malt sweetness is medium to medium-high with a pronounced malt character. A high proportion of pale or dark wheat malt (as much as 80 percent) is used to brew these beers as well as Pilsener and other pale, toasted, or dark specialty malts. Paler versions may have bready, aromatic biscuit malt attributes. Darker versions may exhibit roast malt bitterness at low levels, and toasted or nutty malt attributes. Caramel-like malt attributes are not present.",Very low,Medium-low to medium,Fruity esters may be present as these beers are fermented with ale yeast as opposed to wheat beer yeast. Diacetyl and phenolic aromas and ﬂavors should not be present.,Full,6.00%-7.00%,20-30,4-80+
German-Style Leichtbier,Straw to pale,Appearance should be clear. Chill haze should not be present,Low to medium,Low to medium,Medium,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.,Very low,2.50%-3.70%,16-24,4-8
German-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,A malty sweet aroma and flavor should be present at low levels. Bready or light biscuity attributes may be present.,"Hop aroma and ﬂavor is moderate and pronounced, derived from late hopping (not dry hopping) with noble-type hops. Floral, herbal, peppery, or other attributes may be present.",Medium to high,Fruity-ester and DMS should not be present. These are well attenuated beers.,Low to medium-low,4.60%-5.30%,25-50,6-8
Bohemian-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,"A slightly sweet and toasted, biscuity, bready malt aroma and ﬂavor is present.","Medium-low to medium, derived from late kettle hopping with noble-type hops.",Medium,"The upper limit of original gravity of versions brewed in Czech Republic is 12.99 °Plato or 1.052 specific gravity. Esters are usually not present, but if present should be extremely low, at the limit of perception. Very low levels of diacetyl, if present, are acceptable and may accent malt character. Low levels of sulfur compounds may be present. DMS and acetaldehyde should not be present.",Medium,4.10%-5.10%,25-45,6-12
Munich-Style Helles,Pale to gold,Appearance should be clear. Chill haze should not be present,Malt aroma and ﬂavor are pronounced. Low levels of yeast-produced sulfur aromas and ﬂavors may be present. Malt character is sometimes bready and suggestive of lightly toasted malted barley. There should be no caramel character.,"Hop aroma is not present to low. Hop ﬂavor is very low to low, derived from noble-type hops.","Low, derived from European noble-type hops.","Fruity esters, DMS, and diacetyl should not be present. A very low level of sulfur attributes may be present in balance with other attributes.",Medium,4.80%-5.60%,18-25,8-11
Dortmunder/European-Style Export,Straw to deep gold,Appearance should be clear. Chill haze should not be present,Sweet malt character should be low and should not be caramelly,"Very low to low, derived from noble-type hops.",Medium,Fruity esters and diacetyl should not be present.,Medium,5.10%-6.10%,23-29,6-12
Vienna-Style Lager,Deep Gold to reddish-brown,Appearance should be clear. Chill haze should not be present,"Characterized by malty aroma and light malt sweetness, which should have a lightly toasted malt character.","Very low to low, derived from noble-type hops.","Low to medium-low, clean, and crisp.","DMS, diacetyl, and fruity esters should not be present.",Medium,4.80%-5.40%,22-28,12-36
Franconian-Style Rotbier,Amber to dark red,Clear to slightly hazy for unfiltered versions. Chill haze should not be present.,Light toasted malt aroma and malt sweetness is typical. Light caramel or biscuit character may be present.,"Low to medium-low, with attributes typical of noble-type hops.","Low to medium-low, producing a clean finish.","DMS, diacetyl, fruity esters, and phenolic attributes should not be present.",Medium,4.80%-5.60%,20-28,26-46
German-Style Maerzen,Pale to reddish-brown,Appearance should be clear. Chill haze should not be present,Bready or biscuity malt aroma and flavor should be present. Sweet maltiness is medium-low to medium and leads to a muted clean hop bitterness. Malt ﬂavors should be of light toast rather than strong caramel. Low level caramel character is acceptable.,Low with attributes typical of noble hop varieties,Medium-low to medium,Fruity esters and diacetyl should not be present,Medium,5.10%-6.00%,18-25,8-30
German-Style Oktoberfest/Wiesn,Straw to gold,Appearance should be clear. Chill haze should not be present,"Clean, sweet, bready malt profile is low to medium-low",Very low to low,Very low to low and in balance with low sweet maltiness,Fruity esters and diacetyl should not be present,Medium,5.10%-6.10%,23-29,6-10
Munich-Style Dunkel,Light brown to brown,Appearance should be clear. Chill haze should not be present,"Malt character is low to medium, with chocolate, roast, bread, or biscuit aromas and flavors contributed by using dark Munich malt or other specialty malts.","Very low to low, with attributes typical of noble-type hops.",Medium-low to medium,Fruity esters and diacetyl should not be present,Low to medium-low,4.80%-5.30%,16-25,30-49
European-Style Dark Lager,Light brown to dark brown,Appearance should be clear. Chill haze should not be present,"Low to medium with chocolate, roast, and malt aromas and flavors present.",Very low to low with attributes typical of noble-type hops.,Medium-low to medium-high,"Fruity esters should not be present. In most examples diacetyl should not be present, however some Czech dark lagers allow for low levels of diacetyl",Low to medium-low,4.80%-5.30%,20-35,30-48
German-Style Schwarzbier,"Very dark brown to black, with a pale-colored head.","Beer color may be too dark to perceive. When clarity is perceivable, chill haze should not be present.",Medium malt aroma displays a mild roasted malt character. Malt sweetness is low to medium and displays a mild roasted malt character without bitterness.,"Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present.,Low to medium-low,3.80%-4.90%,22-30,50-80
Bamberg-Style Helles Rauchbier,Light pale to gold,Appearance should be clear. Chill haze should not be present,"Malt character is prominent with malt aromas suggesting lightly toasted sweet, malted barley. Smoke beechwood character ranges from very low to medium. Smoky aroma should be not harshly phenolic. Sulfur may be present at low levels. There should be no caramel character. Smoke ﬂavor may create a perception of mild sweetness.","Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.,Medium,4.80%-5.60%,18-25,8-11
Bamberg-Style Maerzen Rauchbier,Pale to light brown,Appearance should be clear. Chill haze should not be present,"Sweet toasted malt aroma should be present. Medium-low to medium toasted malt sweetness should be present. Aroma and flavor of smoked beechwood ranges from very low to medium. Smoke ﬂavors should be smooth, without harshness. Aroma should strike a balance between malt, hop, and smoke.","Hop aroma and ﬂavor is very low to low, derived from noble-type hops.",Low to medium,Fruity esters and diacetyl should not be present,Full,5.10%-6.00%,18-25,8-30
Bamberg-Style Bock Rauchbier,Dark brown to very dark,Appearance should be clear. Chill haze should not be present,"Medium to medium-high malt aroma and ﬂavor should be present with very low to medium-high beechwood smoke aromas and ﬂavors. Smoke flavors should be smooth, without harshness. Smoke ﬂavor may create a perception of mild sweetness.",Very low,"Medium, increasing proportionately with starting gravity.","Fruity esters are usually absent, but if present should be very low. Diacetyl should not be present.",Medium to full,6.30%-7.60%,20-30,40-60
German-Style Heller Bock/Maibock,"Pale to light amber. The German word ‘helle’ means light-colored, thus Heller Bock is a pale beer.",Appearance should be clear. Chill haze should not be present,Light toasty or bready aroma and flavor attributes are often present. Roast or heavy toast/caramel malt aromas and ﬂavors should not be present.,"Low to medium-low, derived from noble-type hops.",Low to medium-low,"Fruity esters, if present, should be low. Diacetyl should not be present.",Medium to full,6.30%-8.10%,20-38,8-18
Traditional German-Style Bock,Dark brown to very dark,Appearance should be clear. Chill haze should not be present,"Traditional Bocks are made with all malt and have high malt character with aromas of toasted or nutty malt, but not caramel. Traditional bocks display high malt sweetness. The malt ﬂavor profile should display a balance of sweetness and toasted or nutty malt, but not caramel.",Very low,"Medium, increasing proportionately with starting gravity.",Fruity esters if present should be minimal. Diacetyl should not be present.,Medium to full,6.30%-7.60%,20-30,40-60
German-Style Doppelbock,Copper to dark brown,Appearance should be clear. Chill haze should not be present,Pronounced aromas and flavors of toasted malted barley. Some caramel and toffee character can contribute to complexity in a secondary role. Dark fruit flavors such as prune and raisin may be present. Malty sweetness is pronounced but should not be cloying. There should be no astringency from roasted malts.,Hop aroma is absent. Hop ﬂavor is low.,Low,Alcoholic strength is high. Fruity esters are commonly perceived at low to moderate levels. Diacetyl should not be present.,Full,6.60%-7.90%,17-27,24-60
German-Style Eisbock,Light brown to black,Appearance should be clear. Chill haze should not be present,Sweet malt character is very high. Dark fruit flavors such as prune and raisin may be present,Hop aroma and ﬂavor is absent,Very low to low,"Alcohol may be present in aroma. Fruity esters may be evident, but not overpowering. Diacetyl should not be present. Alcoholic strength is very high.",Very full,8.60%-14.30%,26-33,30-100
Chocolate or Cocoa Beer,Can range from pale to very dark depending on the underlying style,Clear to hazy is acceptable,Medium-low to medium-high malt sweetness balanced with cocoa ﬂavors and aromas,Hop aroma may vary based on underlying style and often may be lower than is designated for underlying style allowing chocolate to contribute to the ﬂavor proﬁle without becoming excessively bitter.,Very low to medium-low,"Typical of underlying beer style. Attributes derived from chocolate or cocoa should be apparent in all such beers, ranging from subtle to intense, and in harmony with the overall flavor profile of the beer.",Varies with underlying style,varies,varies,varies
American-Style Lager,Straw to gold,Chill haze should not be present,Malt sweetness is very low to low,Not present to very low,Not present to very low,"Fruity esters are usually absent, but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present.",Low,4.10%-5.10%,5-15,4-8
Contemporary American-Style Lager,Straw to gold,Chill haze should not be present,Malt sweetness and aroma are very low to low,Very low to low,Very low to low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present.",Low,4.10%-5.10%,5-16,4-8
American-Style Light Lager,Very light to pale,Chill haze should not be present,Very low,Absent to very low,Absent to very low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato).",Low with dry mouthfeel,3.50%-4.40%,4-10,3-8
Contemporary American-Style Light Lager,Very light to medium amber. The word ‘Light’ refers to light body and reduced calories rather than color.,Chill haze should not be present,Very low but present,Very low to low,Very low to low,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato).","Low to medium-low, often with dry mouthfeel",3.50%-4.40%,4-15,3-24
American-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,Medium-low to medium,"Medium to high, exhibiting attributes typical of noble-type hops",Medium to medium-high,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present.",Medium-low to medium,4.90%-6.00%,25-40,6-12
Contemporary American-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,Medium-low to medium,"Medium to high. While traditional versions exhibit attributes typical of noble-type hops, contemporary versions will exhibit attributes typical of a wide range of hop varieties.",Medium to medium-high,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present.",Medium-low to medium,4.90%-6.00%,25-50,6-12
American-Style India Pale Lager,Straw to gold,Hop haze is allowable. Chill haze should not be present,"Very low to medium, and may exhibit bready, cracker-like, or other attributes typical of pale malts",Medium to high with attributes typical of hops of any origin,"Medium to high, but not harsh","Fruity esters range from absent to medium-low. DMS, acetaldehyde, and diacetyl should not be present.",low to medium,5.60%-7.90%,30-70,5-12
American-Style Malt Liquor,Straw to gold,Appearance should be clear. Chill haze should not be present,Some malt sweetness is present,Not present,Very low,"Fruity esters and complex alcohol aromas and ﬂavors are acceptable at low levels. Alcohol should not be solvent-like. DMS, diacetyl, and acetaldehyde should not be present.",Low to medium-low,6.30%-7.60%,12-23,4-12
American-Style Amber Lager,Gold to copper,Appearance should be clear. Chill haze should not be present,Low to medium-low caramel or toasted malt aromas and ﬂavors should be present,Very low to medium-high,Very low to medium-high,Fruity esters and diacetyl should not be present,Medium,4.80%-5.40%,18-30,12-28
American-Style Maerzen/Oktoberfest,Pale to reddish brown,Chill haze should not be present,"Sweet maltiness should be present, expressed as a light toasted character. Bready or biscuity malt aroma and ﬂavor is acceptable. Low level caramel attributes are acceptable.","Low to medium-low exhibiting herbal, grass-like, spicy, floral, or citrus attributes",Medium-low to medium,Fruity esters and diacetyl should not be present,Medium,5.10%-6.00%,20-30,8-30
